ground_truth,model_prediction
technical inspectors may examine any other items at their discretion,in242 technical inspectors may examine any other items at their discretion
correction if any part of vehicle does not comply with rules or is otherwise concern team must • correct problem • continue inspection or have vehicle reinspected,in25 in25 correction if any part of vehicle does not comply with rules or is otherwise concern team must • correct problem • continue inspection or have vehicle reinspected
officials may mark seal or designate items or areas which have been inspected to document inspection and reduce chance of tampering,in261 officials may mark seal or designate items or areas which have been inspected to document inspection and reduce chance of tampering
damaged or lost marks or seals require reinspection in15,in262 damaged or lost marks or seals require reinspection in15
initial inspection bring these to initial inspection • technical inspection form • all driver equipment per ve3 to be used by each driver • fire extinguishers for paddock and vehicle ve23 • wet tires v432,in3 in3 initial inspection bring these to initial inspection • technical inspection form • all driver equipment per ve3 to be used by each driver • fire extinguishers for paddock and vehicle ve23 • wet tires v432
electrical technical inspection ev only,no applicable rule found
inspection items bring these to electrical technical inspection • chargers for accumulators ev81 • accumulator container hand cart ev410 • spare accumulators if applicable ev514 • electrical systems form esf and component data sheets ev2 • copies of any submitted rules questions with received answer gr7 following basic tools in good condition • insulated cable shears • insulated screw drivers • multimeter with protected probe tips • insulated tools if screwed connections are used in tractive system • face shield • hv insulating gloves which are 12 months or less from their test date • two hv insulating blankets of minimum 083 m² each • safety glasses with side shields for all team members that might work on tractive system or accumulator,in41 in41 inspection items bring these to electrical technical inspection • chargers for accumulators ev81 • accumulator container hand cart ev410 • spare accumulators if applicable ev514 • electrical systems form esf and component data sheets ev2 • copies of any submitted rules questions with received answer gr7 following basic tools in good condition • insulated cable shears • insulated screw drivers • multimeter with protected probe tips • insulated tools if screwed connections are used in tractive system • face shield • hv insulating gloves which are 12 months or less from their test date • two hv insulating blankets of minimum 083 m² each • safety glasses with side shields for all team members that might work on tractive system or accumulator
accumulator inspection accumulators and associated equipment hand cart chargers etc may be inspected during electrical technical inspection or separately from rest of electrical technical inspection,no applicable rule found
if accumulator containers is not easily accessible during electrical tech inspection provide detailed pictures of internals taken during assembly,in431 if accumulator containers is not easily accessible during electrical tech inspection provide detailed pictures of internals taken during assembly
tech inspectors may require access to check any accumulators for rules compliance,in432 tech inspectors may require access to check any accumulators for rules compliance
insulation monitoring device will be tested by connecting resistor between tractive system measuring points ev58 and several electrically conductive vehicle parts while tractive system is active,in441 in441 insulation monitoring device will be tested by connecting resistor between tractive system measuring points ev58 and several electrically conductive vehicle parts while tractive system is active
test passes if imd shuts down tractive system in 30 seconds or less at fault resistance of 50 below response value corresponding to 250 ohm volt,in442 test passes if imd shuts down tractive system in 30 seconds or less at fault resistance of 50 below response value corresponding to 250 ohm volt
insulation resistance between tractive system and glv system ground will be measured,in451 insulation resistance between tractive system and glv system ground will be measured
available measurement voltages are 250 v and 500 v all vehicles with maximum nominal operation voltage below 500 v will be measured with next available voltage level all teams with system voltage of 500 v or more will be measured with 500 v,in452 in452 available measurement voltages are 250 v and 500 v all vehicles with maximum nominal operation voltage below 500 v will be measured with next available voltage level all teams with system voltage of 500 v or more will be measured with 500 v
to pass insulation measurement test measured insulation resistance must be minimum 500 ohmvolt related to maximum nominal tractive system operation voltage,in453 in453 to pass insulation measurement test measured insulation resistance must be minimum 500 ohmvolt related to maximum nominal tractive system operation voltage
ready to drive sound sound level will be measured with free field microphone placed free from obstructions in radius of 2 m around vehicle against criteria in ev95,in46 in46 ready to drive sound sound level will be measured with free field microphone placed free from obstructions in radius of 2 m around vehicle against criteria in ev95
all or portions of tractive system charger and other components may be sealed in26,in471 all or portions of tractive system charger and other components may be sealed in26
additional monitoring to verify conformance to rules may be installed refer to event website for further information,in472 additional monitoring to verify conformance to rules may be installed refer to event website for further information
electric vehicles must pass electrical technical inspection and mechanical technical inspection before vehicle may attempt any further inspections see ev1132,in473 in473 electric vehicles must pass electrical technical inspection and mechanical technical inspection before vehicle may attempt any further inspections see ev1132
driver cockpit checks clearance checks and egress test may be performed separately or in conjunction with other parts of technical inspection,in5 in5 driver cockpit checks clearance checks and egress test may be performed separately or in conjunction with other parts of technical inspection
driver clearance each driver in normal driving position is checked for three • helmet clearance f563 • head restraint positioning t285 • harness fit and adjustment t25 t26 t27,in51 in51 driver clearance each driver in normal driving position is checked for three • helmet clearance f563 • head restraint positioning t285 • harness fit and adjustment t25 t26 t27
each driver must be able to exit to side of vehicle in no more than 5 seconds,in521 each driver must be able to exit to side of vehicle in no more than 5 seconds
egress test will be conducted for each driver as follows driver must wear specified driver equipment ve32 ve33 b egress time begins with driver in fully seated position with hands in driving position on connected steering wheel c egress test may have driver touch ic cockpit main switch ic94 ev shutdown button ev7104 d egress time will stop when driver has both feet on pavement,in522 in522 egress test will be conducted for each driver as follows driver must wear specified driver equipment ve32 ve33 b egress time begins with driver in fully seated position with hands in driving position on connected steering wheel c egress test may have driver touch ic cockpit main switch ic94 ev shutdown button ev7104 d egress time will stop when driver has both feet on pavement
driver clearance and egress test completion,no applicable rule found
to drive vehicle each team driver must meet driver clearance requirements in51 b successfully complete egress test in52,in531 in531 to drive vehicle each team driver must meet driver clearance requirements in51 b successfully complete egress test in52
drivers must complete driver cockpit checks to pass mechanical inspection,in532 drivers must complete driver cockpit checks to pass mechanical inspection
driver template inspections driver template inspection will be conducted as part of mechanical inspection,in6 in6 driver template inspections driver template inspection will be conducted as part of mechanical inspection
conduct driver template shown in f564 will be positioned as given in f565,in61 in61 conduct driver template shown in f564 will be positioned as given in f565
driver template clearance criteria to pass mechanical technical inspection driver template must meet clearance specified in f563,in62 in62 driver template clearance criteria to pass mechanical technical inspection driver template must meet clearance specified in f563
cockpit template inspections cockpit template inspections will be conducted as part of mechanical inspection,in7 in7 cockpit template inspections cockpit template inspections will be conducted as part of mechanical inspection
cockpit opening will be checked using template and procedure given in t11,in711 cockpit opening will be checked using template and procedure given in t11
internal cross section will be checked using template and procedure given in t12,in712 internal cross section will be checked using template and procedure given in t12
cockpit template criteria to pass mechanical technical inspection both cockpit templates must fit as described,in72 in72 cockpit template criteria to pass mechanical technical inspection both cockpit templates must fit as described
inspection items following items must be brought to mechanical technical inspection • vehicle on dry tires v431 • technical inspection form • push bar ve22 • structural equivalency spreadsheet ses – electronic copy f21 • monocoque laminate test specimens if applicable f43 • impact attenuator that was tested if applicable f887 • accumulator container samples ev only if applicable f1021c f1022c • electronic copies of any submitted rules questions with received answer gr7,in81 in81 inspection items following items must be brought to mechanical technical inspection • vehicle on dry tires v431 • technical inspection form • push bar ve22 • structural equivalency spreadsheet ses – electronic copy f21 • monocoque laminate test specimens if applicable f43 • impact attenuator that was tested if applicable f887 • accumulator container samples ev only if applicable f1021c f1022c formula sae® rules 2024 © 2023 sae international page 113 of 140 • electronic copies of any submitted rules questions with received answer gr7
aerodynamic devices stability and strength,no applicable rule found
any aerodynamic devices may be checked by pushing on device in any direction and at any point following is guidance but actual conformance will be up to technical inspectors at respective competitions intent is to reduce likelihood of wings detaching,in821 any aerodynamic devices may be checked by pushing on device in any direction and at any point following is guidance but actual conformance will be up to technical inspectors at respective competitions intent is to reduce likelihood of wings detaching
if any deflection is significant then force of approximately 200 n may be applied loaded deflection should not be more than 25 mm b any permanent deflection less than 5 mm,in822 in822 if any deflection is significant then force of approximately 200 n may be applied loaded deflection should not be more than 25 mm b any permanent deflection less than 5 mm
if any vehicle on track is observed to have large uncontrolled movements of aerodynamic devices then officials may black flag vehicle for in15 reinspection,in823 if any vehicle on track is observed to have large uncontrolled movements of aerodynamic devices then officials may black flag vehicle for in15 reinspection
dimensions of monocoque will be confirmed f714,in831 dimensions of monocoque will be confirmed f714
when front hoop is integrally bonded or laminated to monocoque f743 provide documentation that shows dimensions on tubes b pictures of dimensioned tube being included in layup,in832 when front hoop is integrally bonded or laminated to monocoque f743 provide documentation that shows dimensions on tubes b pictures of dimensioned tube being included in layup
for items which cannot be verified by inspector team must provide documentation visual andor written that requirements have been met,in833 for items which cannot be verified by inspector team must provide documentation visual andor written that requirements have been met
team found to be improperly presenting any evidence of manufacturing process may be barred from competing with monocoque,in834 team found to be improperly presenting any evidence of manufacturing process may be barred from competing with monocoque
engine inspection ic only organizer may measure or tear down engines to confirm conformance to rules,in84 in84 engine inspection ic only organizer may measure or tear down engines to confirm conformance to rules
mechanical inspection completion all vehicles must pass mechanical technical inspection before vehicle may attempt any further inspections,in85 in85 mechanical inspection completion all vehicles must pass mechanical technical inspection before vehicle may attempt any further inspections
tilt test requirements vehicle must contain maximum amount of fluids it may carry b tallest driver must be seated in normal driving position c tilt tests may be conducted in one or other or both directions in order to pass d ic only engines fitted with mechanically actuated fuel pumps must be run to fill and pressure system downstream of high pressure pump see ic62,in91 in91 tilt test requirements vehicle must contain maximum amount of fluids it may carry b tallest driver must be seated in normal driving position c tilt tests may be conducted in one or other or both directions in order to pass d ic only engines fitted with mechanically actuated fuel pumps must be run to fill and pressure system downstream of high pressure pump see ic62
no fluid leakage of any type when vehicle is tilted to 45° angle to horizontal,no fluid leakage of any type when vehicle is tilted to 45° angle to horizontal
vehicle does not roll when tilted at angle of 60° to horizontal corresponding to 17 g,in922 vehicle does not roll when tilted at angle of 60° to horizontal corresponding to 17 g
tilt test completion tilt tests must be passed before vehicle may attempt any further inspections,in93 in93 tilt test completion tilt tests must be passed before vehicle may attempt any further inspections
sound level will be measured during stationary test with vehicle gearbox in neutral at defined test speed,in1011 sound level will be measured during stationary test with vehicle gearbox in neutral at defined test speed
measurements will be made with free field microphone placed • free from obstructions • at exhaust outlet vertical level ic722 • 05 m from end of exhaust outlet ic722 • at angle of 45° with outlet in horizontal plane see in1022 below,in1012 measurements will be made with free field microphone placed • free from obstructions • at exhaust outlet vertical level ic722 • 05 m from end of exhaust outlet ic722 • at angle of 45° with outlet in horizontal plane see in1022 below
where exhaust has more than one exhaust outlet noise test is repeated for each outlet b highest sound level is used,in1021 in1021 where exhaust has more than one exhaust outlet noise test is repeated for each outlet b highest sound level is used
exhaust outlets that are not parallel to ground may be tested outside of horizontal plane,in1022 in1022 exhaust outlets that are not parallel to ground may be tested outside of horizontal plane
if exhaust has any form of active tuning or throttling device or system exhaust must meet all requirements with device or system in all positions,in1023 in1023 if exhaust has any form of active tuning or throttling device or system exhaust must meet all requirements with device or system in all positions
when exhaust has manually adjustable tuning devices position of device must be visible to officials for noise test b device must be manually operable by officials during noise test c device must not be moved or modified after noise test is passed,in1024 when exhaust has manually adjustable tuning devices position of device must be visible to officials for noise test b device must be manually operable by officials during noise test c device must not be moved or modified after noise test is passed
industrial engine engine which according to manufacturers’ specifications and without required restrictor is capable of producing 5 hp per 100 cc or less submit rules question to request approval of industrial engine,in103 in103 industrial engine engine which according to manufacturers’ specifications and without required restrictor is capable of producing 5 hp per 100 cc or less submit rules question to request approval of industrial engine
maximum test speed engine speed that corresponds to average piston speed of automotive motorcycle engines 9144 mmin 3000 ftmin b industrial engines 7315 mmin 2400 ftmin calculated speed will be rounded to nearest 500 rpm test speeds for typical engines are published on fsae online website,in1041 in1041 maximum test speed engine speed that corresponds to average piston speed of automotive motorcycle engines 9144 mmin 3000 ftmin b industrial engines 7315 mmin 2400 ftmin calculated speed will be rounded to nearest 500 rpm test speeds for typical engines are published on fsae online website
idle test speed determined by vehicle’s calibrated idle speed b if idle speed varies then vehicle will be tested across range of idle speeds determined by team,in1042 in1042 idle test speed determined by vehicle’s calibrated idle speed b if idle speed varies then vehicle will be tested across range of idle speeds determined by team
vehicle must be compliant at all engine speeds up to maximum defined test speed,in1043 vehicle must be compliant at all engine speeds up to maximum defined test speed
maximum permitted sound level at idle 103 dbc fast weighting b at all other speeds 110 dbc fast weighting,in105 in105 maximum permitted sound level at idle 103 dbc fast weighting b at all other speeds 110 dbc fast weighting
noise levels may be monitored at any time,in1061 noise levels may be monitored at any time
noise test may be repeated at any time,in1062 noise test may be repeated at any time
switch function function of one or more of primary master switch ic93 cockpit main switch ic94 andor bots t33 will be verified during noise test,in107 in107 switch function function of one or more of primary master switch ic93 cockpit main switch ic94 andor bots t33 will be verified during noise test
noise test completion noise tests must be passed before vehicle may attempt any further inspections,in108 in108 noise test completion noise tests must be passed before vehicle may attempt any further inspections
rain test requirements • tractive system must be active • vehicle must not be in ready to drive mode ev7 • any driven wheels must not touch ground • driver must not be seated in vehicle,in111 in111 rain test requirements • tractive system must be active • vehicle must not be in ready to drive mode ev7 • any driven wheels must not touch ground • driver must not be seated in vehicle
rain test conduct water spray will be rain like not direct high pressure water jet spray water at vehicle from any possible direction for 120 seconds b stop water spray c observe vehicle for 120 seconds,in112 in112 rain test conduct water spray will be rain like not direct high pressure water jet spray water at vehicle from any possible direction for 120 seconds b stop water spray c observe vehicle for 120 seconds
rain test completion test is passed if insulation monitoring device ev76 does not react during entire 240 seconds duration,in113 in113 rain test completion test is passed if insulation monitoring device ev76 does not react during entire 240 seconds duration
objective brake system will be dynamically tested and must demonstrate capability of locking all four wheels when stopping vehicle in straight line at end of acceleration run specified by brake inspectors,in121 in121 objective brake system will be dynamically tested and must demonstrate capability of locking all four wheels when stopping vehicle in straight line at end of acceleration run specified by brake inspectors
brake test procedure accelerate to speed typically getting into 2nd gear until reaching designated area b apply brakes with force sufficient to demonstrate full lockup of all four wheels,in1221 in1221 brake test procedure accelerate to speed typically getting into 2nd gear until reaching designated area b apply brakes with force sufficient to demonstrate full lockup of all four wheels
brake test passes if • all four wheels lock up • engine stays running during complete test,in1222 brake test passes if • all four wheels lock up • engine stays running during complete test
brake test procedure accelerate to speed until reaching designated area b switch off tractive system c apply brakes with force sufficient to demonstrate full lockup of all four wheels,in1231 brake test procedure accelerate to speed until reaching designated area b switch off tractive system c apply brakes with force sufficient to demonstrate full lockup of all four wheels
brake test passes if all four wheels lock while tractive system is shut down,in1232 brake test passes if all four wheels lock while tractive system is shut down
tractive system active light may switch short time after vehicle has come to complete stop as reduction of system voltage is not immediate see ev722c,in1233 in1233 tractive system active light may switch short time after vehicle has come to complete stop as reduction of system voltage is not immediate see ev722c
when all parts of technical inspection are complete as shown on technical inspection sheet vehicle receives inspection approval,in1311 when all parts of technical inspection are complete as shown on technical inspection sheet vehicle receives inspection approval
completed inspection sticker denotes inspection approval,in1312 completed inspection sticker denotes inspection approval
inspection approval is contingent on vehicle remaining in required condition throughout competition,in1313 inspection approval is contingent on vehicle remaining in required condition throughout competition
organizer chief technical inspector or designee may void inspection approval at any time for any reason,in1314 organizer chief technical inspector or designee may void inspection approval at any time for any reason
inspection stickers are issued following completion of all or part of technical inspection,in1321 in1321 inspection stickers are issued following completion of all or part of technical inspection
inspection stickers must show in location given in ve14,in1322 inspection stickers must show in location given in ve14
inspection stickers may be removed from vehicles that are not in compliance with rules or are required to be reinspected,in1331 inspection stickers may be removed from vehicles that are not in compliance with rules or are required to be reinspected
inspection approval is valid only for duration of specific formula sae competition during which inspection is conducted,in1332 inspection approval is valid only for duration of specific formula sae competition during which inspection is conducted
prior to inspection approval once vehicle has been presented for judging in cost or design events or submitted for technical inspection and until vehicle has full inspection approval only modifications permitted to vehicle are those directed by inspectors and noted on inspection form,in141 in141 prior to inspection approval once vehicle has been presented for judging in cost or design events or submitted for technical inspection and until vehicle has full inspection approval only modifications permitted to vehicle are those directed by inspectors and noted on inspection form
vehicle must maintain all required specifications including but not limited to ride height suspension travel braking capacity pad materialcomposition sound level and wing location throughout competition,in1421 vehicle must maintain all required specifications including but not limited to ride height suspension travel braking capacity pad materialcomposition sound level and wing location throughout competition
changes to fit vehicle to different drivers are allowed permitted changes are • adjustment of driver restraint system head restraint seat and pedal assembly • substitution of head restraint or seat insert • adjustment of mirrors,in1422 changes to fit vehicle to different drivers are allowed permitted changes are • adjustment of driver restraint system head restraint seat and pedal assembly • substitution of head restraint or seat insert • adjustment of mirrors
once vehicle receives inspection approval only modifications permitted to vehicle are following • adjustment of belts chains and clutches • adjustment of brake bias • adjustment to engine powertrain operating parameters including fuel mixture and ignition timing and any software calibration changes • adjustment of suspension • changing springs sway bars and shims in suspension • adjustment of tire pressure subject to v434 • adjustment of wing or wing elements angle but not location t71 • replenishment of fluids • replacement of worn tires or brake pads replacement tires and brake pads must be identical in materialcompositionsize to those presented and approved at technical inspection • changing of wheels and tires for weather conditions d6 • recharging low voltage batteries • recharging high voltage accumulators,in1423 once vehicle receives inspection approval only modifications permitted to vehicle are following • adjustment of belts chains and clutches • adjustment of brake bias • adjustment to engine powertrain operating parameters including fuel mixture and ignition timing and any software calibration changes • adjustment of suspension • changing springs sway bars and shims in suspension • adjustment of tire pressure subject to v434 • adjustment of wing or wing elements angle but not location t71 • replenishment of fluids • replacement of worn tires or brake pads replacement tires and brake pads must be identical in materialcompositionsize to those presented and approved at technical inspection • changing of wheels and tires for weather conditions d6 • recharging low voltage batteries • recharging high voltage accumulators
repairs or changes after inspection approval inspection approval may be voided for any reason including but not limited to damage to vehicle in1313 b changes beyond those allowed per in142 above,in143 in143 repairs or changes after inspection approval inspection approval may be voided for any reason including but not limited to damage to vehicle in1313 b changes beyond those allowed per in142 above
any vehicle may be reinspected at any time for any reason,in1511 any vehicle may be reinspected at any time for any reason
reinspection must be completed to restore inspection approval if voided,in1512 reinspection must be completed to restore inspection approval if voided
technical inspection process may be repeated in entirety or in part,in1521 technical inspection process may be repeated in entirety or in part
specific areas or items to be inspected are at discretion of chief technical inspector,in1522 specific areas or items to be inspected are at discretion of chief technical inspector
with voided inspection approval successful completion of reinspection will restore inspection approval in131,in1531 with voided inspection approval
during dynamic events issues found during reinspection will void inspection approval b penalties may be applied to dynamic events vehicle has competed in applied penalties may include additional time added to events loss of one or more fastest runs up to dq subject to official discretion,in1532 during dynamic events issues found during reinspection will void inspection approval b penalties may be applied to dynamic events vehicle has competed in applied penalties may include additional time added to events loss of one or more fastest runs up to dq subject to official discretion
general static presentation 75 points cost 100 points design 150 points total 325 points,no applicable rule found
presentation event objective presentation event evaluates team’s ability to develop and deliver comprehensive business logistical production or technical case that will convince outside interests to invest in team’s concept,s21 s21 presentation event objective presentation event evaluates team’s ability to develop and deliver comprehensive business logistical production or technical case that will convince outside interests to invest in team’s concept
concept for presentation event will be provided on fsae online website,s221 s221 concept for presentation event will be provided on fsae online website
concept for presentation event may change for each competition,s222 s222 concept for presentation event may change for each competition
team presentation must meet concept,team presentation must meet concept
team presentation must relate specifically to vehicle as entered in competition,s224 s224 team presentation must relate specifically to vehicle as entered in competition
teams should assume that judges represent different areas including engineering production marketing and finance and may not all be engineers,s225 s225 teams should assume that judges represent different areas including engineering production marketing and finance and may not all be engineers
presentation may be given in different settings such as conference room group meeting virtually or in conjunction with other static events specific details will be included in presentation concept or communicated separately,s226 s226 presentation may be given in different settings such as conference room group meeting virtually or in conjunction with other static events specific details will be included in presentation concept or communicated separately
presentation schedule teams that fail to make their presentation during their assigned time period will receive zero points for presentation event,s23 s23 presentation schedule teams that fail to make their presentation during their assigned time period will receive zero points for presentation event
presentation concept may require information to be submitted prior to event specific details will be included in presentation concept,s241 s241 presentation concept may require information to be submitted prior to event specific details will be included in presentation concept
submissions may be graded as part of presentation event score,s242 submissions may be graded as part of presentation event score
pre event submissions will be subject to penalties imposed as given in section dr document requirements,s243 s243 pre event submissions will be subject to penalties imposed as given in section dr document requirements
one or more team members will give presentation to judges,s251 s251 one or more team members will give presentation to judges
all team members who will give any part of presentation or who will respond to judges’ questions must be • in presentation area when presentation starts • introduced and identified to judges,s252 s252 all team members who will give any part of presentation or who will respond to judges’ questions must be • in presentation area when presentation starts • introduced and identified to judges
presentations will be time limited judges will stop any presentation exceeding time limit,s253 s253 presentations will be time limited judges will stop any presentation exceeding time limit
presentation itself will not be interrupted by questions immediately following presentation there may be question and answer session,s254 s254 presentation itself will not be interrupted by questions immediately following presentation there may be question and answer session
only judges may ask questions only team members who meet s252 may answer questions,only judges may ask questions only team members who meet s252 may answer questions
presentation equipment teams planning to use data projectors visual display devices tablets computers etc or other communication means as part of their presentation must bring or arrange for their own equipment,s26 s26 presentation equipment teams planning to use data projectors visual display devices tablets computers etc or other communication means as part of their presentation must bring or arrange for their own equipment
presentations will be evaluated on content organization visual aids delivery and team’s response to judges’ questions,s271 s271 presentations will be evaluated on content organization visual aids delivery and team’s response to judges’ questions
actual quality of prototype itself will not be considered as part of presentation judging,s272 s272 actual quality of prototype itself will not be considered as part of presentation judging
presentation judging score sheet – available at fsae online website,s273 s273 presentation judging score sheet – available at fsae online website
judging sequence presentation judging may be conducted in one or more phases,s28 s28 judging sequence presentation judging may be conducted in one or more phases
presentation raw score is based on average of scores of each judge,presentation raw score is based on average of scores of each judge
presentation event scores may range from 0 to 75 points using method at discretion of judges,s292 s292 presentation event scores may range from 0 to 75 points using method at discretion of judges
presentation event scoring may include normalizing scores of different judging teams and scaling overall results,s293 s293 presentation event scoring may include normalizing scores of different judging teams and scaling overall results
cost event objective cost and manufacturing event evaluates ability of team to consider budget and incorporate production considerations for production and efficiency making tradeoff decisions between content and cost based on performance of each part and assembly and accounting for each part and process to meet budget is part of project management,s31 cost event objective cost and manufacturing event evaluates ability of team to consider budget and incorporate production considerations for production and efficiency making tradeoff decisions between content and cost based on performance of each part and assembly and accounting for each part and process to meet budget is part of project management
cost event supplement additional specific information on cost and manufacturing event including explanation and requirements is provided in formula sae cost event supplement document b use formula sae cost event supplement to properly complete requirements of cost and manufacturing event c formula sae cost event supplement is available on fsae online website,s32 s32 cost event supplement additional specific information on cost and manufacturing event including explanation and requirements is provided in formula sae cost event supplement document b use formula sae cost event supplement to properly complete requirements of cost and manufacturing event c formula sae cost event supplement is available on fsae online website
cost report preparation and submission of report “cost report”,cost report preparation and submission of report “cost report”
event day discussion discussion at competition with cost judges around team’s vehicle,s332 s332 event day discussion discussion at competition with cost judges around team’s vehicle
cost scenario teams will respond to challenge related to cost or manufacturing of vehicle,s333 s333 cost scenario teams will respond to challenge related to cost or manufacturing of vehicle
cost report must list and cost every part on vehicle using standardized cost tables b base cost on actual manufacturing technique used on prototype cast parts on prototype must be cost as cast and fabricated parts as fabricated etc c include tooling cost welding jigs molds patterns and dies for processes requiring it d exclude r d and capital expenditures plant machinery hand tools and power tools e include supporting documentation to allow officials to verify part costing,s341 s341 cost report must list and cost every part on vehicle using standardized cost tables b base cost on actual manufacturing technique used on prototype cast parts on prototype must be cost as cast and fabricated parts as fabricated etc c include tooling cost welding jigs molds patterns and dies for processes requiring it d exclude r d and capital expenditures plant machinery hand tools and power tools e include supporting documentation to allow officials to verify part costing
generate and submit cost report using fsae online website see dr document requirements,s342 generate and submit cost report using fsae online website see dr document requirements
bom is list for every vehicle part showing relationships between items overall vehicle is broken down into separate systems b systems are made up of assemblies c assemblies are made up of parts d parts consist of materials processes and fasteners e tooling is associated with each process that requires production tooling,s351 s351 bom is list for every vehicle part showing relationships between items overall vehicle is broken down into separate systems b systems are made up of assemblies c assemblies are made up of parts d parts consist of materials processes and fasteners e tooling is associated with each process that requires production tooling
late submission penalties for late submission of cost report will be imposed as given in section dr document requirements,s36 s36 late submission penalties for late submission of cost report will be imposed as given in section dr document requirements
supplement to cost report that reflects any changes or corrections made after submission of cost report may be submitted,supplement to cost report that reflects any changes or corrections made after submission of cost report may be submitted
cost addendum must be submitted during onsite registration at event,s372 s372 cost addendum must be submitted during onsite registration at event
cost addendum must follow format as given in section dr document requirements,s373 s373 cost addendum must follow format as given in section dr document requirements
addenda apply only to competition at which they are submitted,s374 s374 addenda apply only to competition at which they are submitted
separate cost addendum may be submitted for every competition vehicle attends,s375 s375 separate cost addendum may be submitted for every competition vehicle attends
changes to cost report in cost addendum will incur additional cost added items will be cost at 125 of table cost 125 x cost b removed items will be credited 75 of table cost 075 x cost,s376 s376 changes to cost report in cost addendum will incur additional cost added items will be cost at 125 of table cost 125 x cost b removed items will be credited 75 of table cost 075 x cost
all costs in cost report must come from standardized cost tables,all costs in cost report must come from standardized cost tables
if team wishes to use any parts processes or materials not included in tables add item request must be submitted see s310,if team wishes to use any parts processes or materials not included in tables add item request must be submitted see s310
every part may be classified as made or bought refer to formula sae cost event supplement for additional information,every part may be classified as made or bought refer to formula sae cost event supplement for additional information
if team genuinely makes part listed on table as bought part they may alternatively cost it as made part only if place holder entry is listed in tables enabling them to do so,if team genuinely makes part listed on table as bought part they may alternatively cost it as made part only if place holder entry is listed in tables enabling them to do so
any part which is normally purchased that is optionally shown as made part must have supporting documentation submitted to prove team manufacture,s393 s393 any part which is normally purchased that is optionally shown as made part must have supporting documentation submitted to prove team manufacture
teams costing bought parts as made parts will be penalized,s394 s394 teams costing bought parts as made parts will be penalized
add item request must be submitted on fsae online website to add items to cost tables for individual team requirements,s3101 add item request must be submitted on fsae online website to add items to cost tables for individual team requirements
after review item may be added to cost table with appropriate cost it will then be available to all teams,s3102 after review item may be added to cost table with appropriate cost it will then be available to all teams
competition organizers may publish all or part of submitted cost reports,competition organizers may publish all or part of submitted cost reports
cost reports for given competition season will not be published before end of calendar year support materials such as technical drawings will not be released,s3112 cost reports for given competition season will not be published before end of calendar year support materials such as technical drawings will not be released
following procedure will be used in determining penalties penalty will be calculated using procedure penalty method fixed point deductions b penalty b will be calculated using procedure penalty method b – adjusted cost additions c higher of two penalties will be applied against cost event score • penalty expressed in points will be deducted from cost event score • penalty b expressed in dollars will be added to adjusted cost of vehicle,s3121 following procedure will be used in determining penalties penalty will be calculated using procedure penalty method fixed point deductions b penalty b will be calculated using procedure penalty method b – adjusted cost additions c higher of two penalties will be applied against cost event score • penalty expressed in points will be deducted from cost event score • penalty b expressed in dollars will be added to adjusted cost of vehicle
any error that results in team over reporting cost in their cost report will not be further penalized,s3122 any error that results in team over reporting cost in their cost report will not be further penalized
any instance where team’s score benefits by intentional or unintentional error on part of students will be corrected on case by case basis,s3123 any instance where team’s score benefits by intentional or unintentional error on part of students will be corrected on case by case basis
penalty method fixed point deductions from bill of material cost judges will determine if all parts and processes have been included in analysis b in case of any omission or error penalty proportional to bom level of error will be imposed • missinginaccurate material process fastener 1 point • missinginaccurate part 3 point • missinginaccurate assembly 5 point c each of penalties listed above supersedes previous penalty example if point deduction is given for missing assembly missing parts are ignored d differences other than those listed above will be deducted at discretion of cost judges,s3124 s3124 penalty method fixed point deductions from bill of material cost judges will determine if all parts and processes have been included in analysis b in case of any omission or error penalty proportional to bom level of error will be imposed • missinginaccurate material process fastener 1 point • missinginaccurate part 3 point • missinginaccurate assembly 5 point c each of penalties listed above supersedes previous penalty example if point deduction is given for missing assembly missing parts are ignored formula sae® rules 2024 © 2023 sae international page 122 of 140 d differences other than those listed above will be deducted at discretion of cost judges
penalty method b – adjusted cost additions table cost for missing or incomplete items will be calculated from standard cost tables b penalty will be value equal to twice difference between team cost and correct cost for all items in error penalty 2 x table cost – team reported cost table costs of all items in error are included in calculation missing assembly would include price of all parts materials processes and fasteners making up assembly,s3125 penalty method b – adjusted cost additions table cost for missing or incomplete items will be calculated from standard cost tables b penalty will be value equal to twice difference between team cost and correct cost for all items in error penalty 2 x table cost – team reported cost table costs of all items in error are included in calculation missing assembly would include price of all parts materials processes and fasteners making up assembly
